loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
,,,3.269461077844311,135,1.0416812896728516,5.0768,29.349,3.743
1.0412,0.30242475867271423,1.6682926829268295e-05,3.2934131736526946,136,,,,
,,,3.2934131736526946,136,1.0391700267791748,5.0757,29.356,3.743
1.0307,0.23161424696445465,1.6658536585365854e-05,3.317365269461078,137,,,,
,,,3.317365269461078,137,1.0375458002090454,5.0755,29.357,3.743
1.0045,0.2760287821292877,1.6634146341463416e-05,3.341317365269461,138,,,,
,,,3.341317365269461,138,1.0357657670974731,5.0764,29.351,3.743
0.9634,0.3044918477535248,1.6609756097560975e-05,3.3652694610778444,139,,,,
,,,3.3652694610778444,139,1.0335395336151123,5.0758,29.355,3.743
0.9767,0.22528576850891113,1.6585365853658537e-05,3.3892215568862274,140,,,,
,,,3.3892215568862274,140,1.0318175554275513,5.0758,29.355,3.743
1.0213,0.3125269114971161,1.65609756097561e-05,3.413173652694611,141,,,,
,,,3.413173652694611,141,1.0299489498138428,5.0749,29.36,3.744
0.9664,0.27787378430366516,1.6536585365853658e-05,3.437125748502994,142,,,,
,,,3.437125748502994,142,1.0284746885299683,5.0738,29.366,3.745
0.9662,0.22674690186977386,1.651219512195122e-05,3.461077844311377,143,,,,
,,,3.461077844311377,143,1.0264613628387451,5.0746,29.362,3.744
0.922,0.24163368344306946,1.6487804878048782e-05,3.4850299401197606,144,,,,
,,,3.4850299401197606,144,1.0245336294174194,5.0747,29.361,3.744
1.0229,0.23501621186733246,1.646341463414634e-05,3.5089820359281436,145,,,,
,,,3.5089820359281436,145,1.0224298238754272,5.073,29.371,3.745
1.0674,0.25165489315986633,1.6439024390243903e-05,3.532934131736527,146,,,,
,,,3.532934131736527,146,1.0209569931030273,5.0749,29.36,3.744
0.9537,0.24521932005882263,1.6414634146341462e-05,3.55688622754491,147,,,,
,,,3.55688622754491,147,1.0187784433364868,5.0749,29.36,3.744
0.9446,0.30758392810821533,1.6390243902439024e-05,3.5808383233532934,148,,,,
,,,3.5808383233532934,148,1.0167465209960938,5.0762,29.353,3.743
1.0292,0.24545247852802277,1.6365853658536587e-05,3.6047904191616764,149,,,,
,,,3.6047904191616764,149,1.014949083328247,5.0752,29.358,3.744
0.9849,0.23525837063789368,1.6341463414634145e-05,3.62874251497006,150,,,,
